,temp,year,day,weekday,hour,traffic_volume
173,281.88,2012,10,2,0,494
174,281.78,2012,10,2,1,332
175,281.09,2012,10,2,2,261
176,281.17,2012,10,2,3,361
177,281.25,2012,10,2,6,5875
178,281.25,2012,10,2,7,6793
179,281.25,2012,10,2,7,6793
180,280.1,2012,10,2,8,6283
181,280.1,2012,10,2,8,6283
182,279.61,2012,10,2,9,5680
183,279.61,2012,10,2,9,5680
184,279.67,2012,10,2,10,4632
185,280.19,2012,10,2,11,4887
186,282.09,2012,10,2,12,5030
187,282.26,2012,10,2,13,5067
188,282.05,2012,10,2,14,5227
189,281.59,2012,10,2,15,5610
190,281.23,2012,10,2,16,6286
191,282.6,2012,10,2,18,4775
192,282.6,2012,10,2,19,3340
193,282.6,2012,10,2,20,3013
194,282.6,2012,10,2,21,2603
195,282.6,2012,10,2,22,1910
196,282.6,2012,10,2,23,1037
197,273.9,2012,11,3,1,347
198,274.4,2012,11,3,3,350
199,274.05,2012,11,3,4,850
200,273.71,2012,11,3,5,2791
201,272.66,2012,11,3,6,5809
202,272.65,2012,11,3,7,6798
203,272.52,2012,11,3,8,6304
204,275.19,2012,11,3,9,5291
205,275.34,2012,11,3,10,4638
206,284.1,2012,11,3,14,5557
207,284.1,2012,11,3,15,5818
208,283.78,2012,11,3,16,6272
209,283.52,2012,11,3,17,5944
210,283.32,2012,11,3,18,4949
211,282.06,2012,11,3,19,3511
212,281.95,2012,11,3,20,3039
213,281.81,2012,11,3,21,2679
214,282.16,2012,11,3,22,2094
215,282.53,2012,11,3,23,1284
216,283.91,2012,12,4,0,630
217,284.64,2012,12,4,1,410
218,284.61,2012,12,4,2,331
219,283.18,2012,12,4,3,372
220,282.26,2012,12,4,4,739
221,280.77,2012,12,4,5,2561
222,278.53,2012,12,4,6,5586
223,277.64,2012,12,4,7,6992
224,277.9,2012,12,4,8,5860
225,278.18,2012,12,4,9,5230
226,279.29,2012,12,4,10,4864
227,280.45,2012,12,4,11,5146
228,280.95,2012,12,4,12,5526
229,281.74,2012,12,4,13,5383
230,281.84,2012,12,4,14,5758
231,282.45,2012,12,4,15,5889
232,282.2,2012,12,4,16,6057
233,281.54,2012,12,4,17,6028
234,280.21,2012,12,4,18,5257
235,282.2,2012,12,4,23,1897
236,272.58,2012,13,5,0,1335
237,272.06,2012,13,5,1,769
238,270.99,2012,13,5,2,570
239,270.29,2012,13,5,3,413
240,269.48,2012,13,5,4,399
241,269.27,2012,13,5,5,740
242,268.91,2012,13,5,6,1420
243,268.98,2012,13,5,7,2220
244,269.23,2012,13,5,8,3479
245,272.61,2012,13,5,9,4546
246,276.78,2012,13,5,10,4579
247,279.22,2012,13,5,11,4438
248,280.35,2012,13,5,12,4623
249,281.81,2012,13,5,13,4440
250,283.05,2012,13,5,14,4495
251,283.96,2012,13,5,15,4483
252,284.53,2012,13,5,16,4591
253,284.44,2012,13,5,17,4477
254,283.64,2012,13,5,18,4221
255,281.85,2012,13,5,19,3672
256,281.38,2012,13,5,20,3015
257,281.84,2012,13,5,21,2769
258,282.23,2012,13,5,22,2875
259,282.18,2012,13,5,23,1931
260,282.49,2012,14,6,0,1309
261,282.54,2012,14,6,1,870
262,282.58,2012,14,6,2,654
263,282.23,2012,14,6,3,364
264,282.08,2012,14,6,4,262
265,282.23,2012,14,6,5,505
266,282.24,2012,14,6,6,861
267,282.24,2012,14,6,7,1132
268,282.24,2012,14,6,8,1797
269,282.43,2012,14,6,9,2685
270,282.43,2012,14,6,9,2685
271,282.43,2012,14,6,9,2685
272,282.33,2012,14,6,10,3370
273,282.33,2012,14,6,10,3370
274,282.82,2012,14,6,11,3662
275,282.82,2012,14,6,11,3662
276,283.33,2012,14,6,12,4076
277,283.33,2012,14,6,12,4076
278,283.33,2012,14,6,12,4076
279,283.75,2012,14,6,13,4128
280,283.75,2012,14,6,13,4128
281,283.75,2012,14,6,13,4128
282,284.09,2012,14,6,14,4358
283,284.09,2012,14,6,14,4358
284,284.09,2012,14,6,14,4358
285,284.55,2012,14,6,15,4342
286,284.55,2012,14,6,15,4342
287,284.68,2012,14,6,16,4234
288,284.64,2012,14,6,17,4271
289,284.64,2012,14,6,17,4271
290,284.4,2012,14,6,18,4080
291,284.17,2012,14,6,19,3453
292,284.03,2012,14,6,20,2718
293,283.58,2012,14,6,21,2439
294,283.04,2012,14,6,22,1819
295,281.95,2012,14,6,23,1002
296,281.95,2012,14,6,23,1002
297,281.61,2012,15,0,0,542
298,281.61,2012,15,0,0,542
299,281.57,2012,15,0,1,303
300,281.42,2012,15,0,2,239
301,281.29,2012,15,0,3,335
302,281.29,2012,15,0,3,335
303,281.02,2012,15,0,4,810
304,281.02,2012,15,0,4,810
305,280.82,2012,15,0,5,2606
306,280.82,2012,15,0,5,2606
307,280.39,2012,15,0,6,5714
308,280.19,2012,15,0,7,6798
309,279.82,2012,15,0,8,6114
310,279.75,2012,15,0,9,5094
311,280.07,2012,15,0,10,4473
312,280.32,2012,15,0,11,4529
313,281.72,2012,15,0,12,4823
314,284.01,2012,15,0,13,4872
315,285.88,2012,15,0,14,5238
316,286.87,2012,15,0,15,5584
317,287.6,2012,15,0,16,6246
318,287.27,2012,15,0,17,5957
319,286.18,2012,15,0,18,4535
320,285.2,2012,15,0,19,3234
321,284.68,2012,15,0,20,2677
322,284.49,2012,15,0,21,2077
323,283.54,2012,15,0,22,1380
324,282.33,2012,15,0,23,927
325,281.21,2012,16,1,0,500
326,279.87,2012,16,1,1,324
327,278.93,2012,16,1,2,257
328,277.91,2012,16,1,3,354
329,277.21,2012,16,1,4,769
330,276.61,2012,16,1,5,2769
331,276.11,2012,16,1,6,5789
332,274.81,2012,16,1,7,7055
333,274.99,2012,16,1,8,6408
334,277.91,2012,16,1,9,5254
335,280.71,2012,16,1,10,4547
336,283.85,2012,16,1,11,4784
337,286.01,2012,16,1,12,5015
338,286.31,2012,16,1,13,5057
339,288.15,2012,16,1,14,5430
340,289.15,2012,16,1,15,5813
341,288.99,2012,16,1,16,6496
342,288.86,2012,16,1,17,6429
343,288.16,2012,16,1,18,5142
344,287.28,2012,16,1,19,3311
345,287.04,2012,16,1,20,2777
346,286.9,2012,16,1,21,2331
347,287.09,2012,16,1,22,1767
348,287.09,2012,16,1,23,1093
349,286.89,2012,17,2,0,554
350,286.93,2012,17,2,1,333
351,286.93,2012,17,2,2,267
352,287.07,2012,17,2,3,358
353,286.56,2012,17,2,4,777
354,285.91,2012,17,2,5,2732
355,285.29,2012,17,2,6,5637
356,284.92,2012,17,2,7,5564
357,285.35,2012,17,2,8,6274
358,285.72,2012,17,2,9,5403
359,285.72,2012,17,2,9,5403
360,287.09,2012,17,2,10,4680
361,288.31,2012,17,2,11,4642
362,288.61,2012,17,2,12,4979
363,290.32,2012,17,2,13,4851
364,291.36,2012,17,2,14,4291
365,292.01,2012,17,2,15,4714
366,292.61,2012,17,2,16,6723
367,292.65,2012,17,2,17,6180
368,290.52,2012,17,2,18,4843
369,288.35,2012,17,2,19,3435
370,286.72,2012,17,2,20,2921
371,285.49,2012,17,2,21,2763
372,284.22,2012,17,2,22,1930
373,283.8,2012,17,2,23,1160
374,283.72,2012,18,3,0,654
375,282.8,2012,18,3,1,374
376,282.32,2012,18,3,2,301
377,282.38,2012,18,3,3,397
378,282.76,2012,18,3,4,794
379,282.88,2012,18,3,5,2564
380,284.18,2012,18,3,6,5358
381,284.69,2012,18,3,7,6441
382,285.0,2012,18,3,8,5536
383,286.9,2012,18,3,9,5256
384,288.35,2012,18,3,10,4619
385,289.59,2012,18,3,11,5107
386,288.27,2012,18,3,12,5147
387,286.41,2012,18,3,13,5283
388,285.96,2012,18,3,14,5704
389,287.04,2012,18,3,15,5887
390,287.18,2012,18,3,16,6307
391,286.94,2012,18,3,17,5953
392,286.01,2012,18,3,18,4519
393,284.67,2012,18,3,19,3427
394,283.44,2012,18,3,20,2921
395,282.51,2012,18,3,21,2649
396,281.9,2012,18,3,22,2005
397,281.85,2012,18,3,23,1177
398,281.28,2012,19,4,0,699
399,280.97,2012,19,4,1,436
400,280.44,2012,19,4,2,353
401,280.44,2012,19,4,2,353
402,280.02,2012,19,4,3,399
403,279.79,2012,19,4,4,720
404,279.79,2012,19,4,4,720
405,279.79,2012,19,4,4,720
406,279.79,2012,19,4,4,720
407,279.74,2012,19,4,5,2370
408,279.74,2012,19,4,5,2370
409,279.65,2012,19,4,6,5162
410,279.65,2012,19,4,6,5162
411,279.65,2012,19,4,6,5162
412,279.45,2012,19,4,7,5777
413,279.45,2012,19,4,7,5777
414,279.22,2012,19,4,8,5235
415,279.22,2012,19,4,8,5235
416,279.22,2012,19,4,8,5235
417,279.35,2012,19,4,9,4606
418,279.35,2012,19,4,9,4606
419,279.92,2012,19,4,10,4328
420,280.44,2012,19,4,11,4282
421,281.0,2012,19,4,12,4489
422,281.51,2012,19,4,13,4908
423,281.93,2012,19,4,14,5620
424,281.94,2012,19,4,15,5849
425,281.94,2012,19,4,15,5849
426,282.27,2012,19,4,16,4945
427,282.41,2012,19,4,17,4619
428,282.21,2012,19,4,18,4479
429,281.69,2012,19,4,19,3804
430,281.26,2012,19,4,20,2908
431,280.66,2012,19,4,21,2942
432,280.43,2012,19,4,22,3077
433,280.43,2012,19,4,22,3077
434,280.1,2012,19,4,23,2051
435,280.1,2012,19,4,23,2051
436,280.1,2012,19,4,23,2051
437,280.06,2012,20,5,0,1270
438,280.06,2012,20,5,0,1270
439,280.28,2012,20,5,1,773
440,280.28,2012,20,5,1,773
441,280.38,2012,20,5,2,589
442,280.62,2012,20,5,3,432
443,280.62,2012,20,5,3,432
444,280.91,2012,20,5,4,401
445,280.91,2012,20,5,4,401
446,280.91,2012,20,5,4,401
447,280.96,2012,20,5,5,759
448,280.96,2012,20,5,5,759
449,280.96,2012,20,5,5,759
450,281.13,2012,20,5,6,1313
451,281.13,2012,20,5,6,1313
452,281.13,2012,20,5,6,1313
453,281.28,2012,20,5,7,1824
454,281.28,2012,20,5,7,1824
455,281.28,2012,20,5,7,1824
456,281.19,2012,20,5,8,2787
457,281.19,2012,20,5,8,2787
458,281.19,2012,20,5,8,2787
459,281.7,2012,20,5,9,3713
460,281.7,2012,20,5,9,3713
461,281.7,2012,20,5,9,3713
462,281.7,2012,20,5,9,3713
463,282.02,2012,20,5,10,3815
464,282.02,2012,20,5,10,3815
465,282.02,2012,20,5,10,3815
466,282.02,2012,20,5,10,3815
467,282.35,2012,20,5,11,4339
468,282.35,2012,20,5,11,4339
469,282.35,2012,20,5,11,4339
470,282.71,2012,20,5,12,4613
471,282.71,2012,20,5,12,4613
472,282.71,2012,20,5,12,4613
473,282.71,2012,20,5,12,4613
474,283.31,2012,20,5,13,4507
475,283.79,2012,20,5,14,4452
476,284.2,2012,20,5,15,4636
477,284.32,2012,20,5,16,4810
478,284.13,2012,20,5,17,5125
479,283.14,2012,20,5,18,4337
480,281.4,2012,20,5,19,3644
481,280.47,2012,20,5,20,3107
482,279.52,2012,20,5,21,2929
483,278.85,2012,20,5,22,2865
484,278.12,2012,20,5,23,2340
485,277.94,2012,21,6,0,1372
486,275.93,2012,21,6,8,1928
487,275.93,2012,21,6,8,1928
488,284.09,2012,21,6,17,4695
489,282.6,2012,21,6,18,4335
490,281.72,2012,21,6,22,1583
491,281.26,2012,21,6,23,959
492,281.29,2012,22,0,0,498
493,281.01,2012,22,0,1,306
494,280.57,2012,22,0,2,259
495,280.54,2012,22,0,3,324
496,279.37,2012,22,0,4,806
497,279.18,2012,22,0,5,2622
498,279.05,2012,22,0,6,5456
499,282.7,2012,22,0,10,4324
500,286.17,2012,22,0,11,4378
501,288.61,2012,22,0,12,4639
502,290.59,2012,22,0,13,4546
503,292.21,2012,22,0,14,5006
504,293.56,2012,22,0,15,5361
505,293.43,2012,22,0,16,6101
506,293.4,2012,22,0,17,5781
507,291.47,2012,22,0,18,4272
508,289.17,2012,22,0,19,3091
509,287.28,2012,22,0,20,2434
510,286.1,2012,22,0,21,1984
511,285.45,2012,22,0,22,1383
512,285.33,2012,22,0,23,959
513,285.07,2012,23,1,0,511
514,284.58,2012,23,1,1,346
515,283.88,2012,23,1,2,253
516,283.55,2012,23,1,3,349
517,282.85,2012,23,1,4,807
518,282.42,2012,23,1,5,2669
519,282.13,2012,23,1,6,5210
520,281.85,2012,23,1,7,6083
521,281.85,2012,23,1,8,5790
522,283.07,2012,23,1,9,5484
523,284.53,2012,23,1,10,4407
524,285.6,2012,23,1,11,4725
525,286.63,2012,23,1,12,4826
526,286.75,2012,23,1,13,4945
527,287.97,2012,23,1,14,5065
528,288.54,2012,23,1,15,5618
529,288.72,2012,23,1,16,6094
530,288.53,2012,23,1,17,5844
531,288.16,2012,23,1,18,4649
532,287.59,2012,23,1,19,3180
533,287.21,2012,23,1,20,2963
534,286.29,2012,23,1,21,2450
535,285.7,2012,23,1,22,1613
536,285.61,2012,23,1,23,1021
537,285.37,2012,24,2,0,580
538,285.37,2012,24,2,0,580
539,285.51,2012,24,2,1,298
540,285.6,2012,24,2,2,261
541,285.99,2012,24,2,3,408
542,285.99,2012,24,2,3,408
543,285.94,2012,24,2,4,793
544,285.94,2012,24,2,4,793
545,285.97,2012,24,2,5,2643
546,285.97,2012,24,2,5,2643
547,285.97,2012,24,2,5,2643
548,285.73,2012,24,2,6,5593
549,285.73,2012,24,2,6,5593
550,285.73,2012,24,2,6,5593
551,285.73,2012,24,2,6,5593
552,285.5,2012,24,2,7,5722
553,285.5,2012,24,2,7,5722
554,285.55,2012,24,2,8,5607
555,285.55,2012,24,2,8,5607
556,285.55,2012,24,2,8,5607
557,285.55,2012,24,2,8,5607
558,285.93,2012,24,2,9,5492
559,285.93,2012,24,2,9,5492
560,285.93,2012,24,2,9,5492
561,286.34,2012,24,2,10,4542
562,286.82,2012,24,2,11,4720
563,286.82,2012,24,2,11,4720
564,288.36,2012,24,2,12,4982
565,288.36,2012,24,2,12,4982
566,288.36,2012,24,2,12,4982
567,289.08,2012,24,2,13,5032
568,289.08,2012,24,2,13,5032
569,289.08,2012,24,2,13,5032
570,289.88,2012,24,2,14,5212
571,289.88,2012,24,2,14,5212
572,290.24,2012,24,2,15,5661
573,290.24,2012,24,2,15,5661
574,290.24,2012,24,2,15,5661
575,290.01,2012,24,2,16,5812
576,289.62,2012,24,2,17,5855
577,289.62,2012,24,2,17,5855
578,289.61,2012,24,2,18,4416
579,289.61,2012,24,2,18,4416
580,289.06,2012,24,2,19,3118
581,288.34,2012,24,2,20,2877
582,288.34,2012,24,2,20,2877
583,287.06,2012,24,2,21,2498
584,287.41,2012,24,2,22,1701
585,287.52,2012,24,2,23,1028
586,287.81,2012,25,3,0,578
587,287.29,2012,25,3,1,354
588,287.23,2012,25,3,2,272
589,286.44,2012,25,3,3,370
590,285.32,2012,25,3,4,809
591,285.32,2012,25,3,4,809
592,285.43,2012,25,3,5,2641
593,285.53,2012,25,3,6,4957
594,285.2,2012,25,3,7,6036
595,285.2,2012,25,3,7,6036
596,285.02,2012,25,3,8,5309
597,286.43,2012,25,3,10,4438
598,287.36,2012,25,3,11,4723
599,287.6,2012,25,3,12,4879
600,287.29,2012,25,3,13,5062
601,286.41,2012,25,3,14,5450
602,286.41,2012,25,3,14,5450
603,286.41,2012,25,3,14,5450
604,286.41,2012,25,3,14,5450
605,285.8,2012,25,3,15,5888
606,285.8,2012,25,3,15,5888
607,285.8,2012,25,3,15,5888
608,285.8,2012,25,3,15,5888
609,285.8,2012,25,3,15,5888
610,285.29,2012,25,3,16,6473
611,285.29,2012,25,3,16,6473
612,285.29,2012,25,3,16,6473
613,284.77,2012,25,3,17,6488
614,284.77,2012,25,3,17,6488
615,284.77,2012,25,3,17,6488
616,284.29,2012,25,3,18,5351
617,284.29,2012,25,3,18,5351
618,284.29,2012,25,3,18,5351
619,284.29,2012,25,3,18,5351
620,283.79,2012,25,3,19,3500
621,283.79,2012,25,3,19,3500
622,283.79,2012,25,3,19,3500
623,283.44,2012,25,3,20,2856
624,283.44,2012,25,3,20,2856
625,283.44,2012,25,3,20,2856
626,283.22,2012,25,3,21,2587
627,283.22,2012,25,3,21,2587
628,283.22,2012,25,3,21,2587
629,282.82,2012,25,3,22,1979
630,282.13,2012,25,3,23,1284
631,281.05,2012,26,4,0,665
632,281.05,2012,26,4,0,665
633,281.05,2012,26,4,0,665
634,280.44,2012,26,4,1,432
635,280.44,2012,26,4,1,432
636,280.07,2012,26,4,2,326
637,280.07,2012,26,4,2,326
638,280.07,2012,26,4,2,326
639,279.54,2012,26,4,3,380
640,279.54,2012,26,4,3,380
641,279.54,2012,26,4,3,380
642,279.54,2012,26,4,3,380
643,278.93,2012,26,4,4,705
644,278.93,2012,26,4,4,705
645,278.93,2012,26,4,4,705
646,278.93,2012,26,4,4,705
647,278.93,2012,26,4,4,705
648,278.27,2012,26,4,5,2430
649,278.27,2012,26,4,5,2430
650,278.27,2012,26,4,5,2430
651,278.27,2012,26,4,5,2430
652,278.07,2012,26,4,6,5426
653,278.07,2012,26,4,6,5426
654,278.07,2012,26,4,6,5426
655,277.53,2012,26,4,7,6499
656,277.53,2012,26,4,7,6499
657,276.23,2012,26,4,8,5856
658,276.23,2012,26,4,8,5856
659,276.23,2012,26,4,8,5856
660,275.66,2012,26,4,9,5234
661,275.66,2012,26,4,9,5234
662,275.66,2012,26,4,9,5234
663,275.02,2012,26,4,10,4695
664,275.02,2012,26,4,10,4695
665,275.02,2012,26,4,10,4695
666,275.02,2012,26,4,10,4695
667,275.03,2012,26,4,11,5341
668,275.03,2012,26,4,11,5341
669,275.03,2012,26,4,11,5341
670,275.03,2012,26,4,11,5341
671,274.5,2012,26,4,12,5943
672,274.5,2012,26,4,12,5943
673,275.01,2012,26,4,13,5874
674,275.38,2012,26,4,14,5879
675,275.38,2012,26,4,14,5879
676,275.85,2012,26,4,15,6060
677,276.56,2012,26,4,16,6348
678,276.7,2012,26,4,17,5955
679,276.71,2012,26,4,18,5341
680,276.43,2012,26,4,19,4144
681,276.23,2012,26,4,20,3249
682,275.99,2012,26,4,21,3017
683,276.28,2012,26,4,22,2765
684,276.28,2012,26,4,23,1894
685,276.01,2012,27,5,0,1159
686,275.36,2012,27,5,1,822
687,274.93,2012,27,5,2,641
688,274.28,2012,27,5,3,411
689,274.01,2012,27,5,4,468
690,273.71,2012,27,5,5,723
691,273.43,2012,27,5,6,1415
692,273.65,2012,27,5,7,2191
693,274.58,2012,27,5,8,3185
694,275.39,2012,27,5,9,4076
695,275.44,2012,27,5,10,4522
696,276.11,2012,27,5,11,6012
697,276.48,2012,27,5,12,5975
698,276.5,2012,27,5,13,5307
699,276.56,2012,27,5,14,4678
700,276.61,2012,27,5,15,4405
701,276.9,2012,27,5,16,4403
702,276.61,2012,27,5,17,4311
703,276.34,2012,27,5,18,4198
704,275.96,2012,27,5,19,3475
705,275.6,2012,27,5,20,3078
706,274.86,2012,27,5,21,2931
707,274.05,2012,27,5,22,2941
708,273.62,2012,27,5,23,2240
709,273.52,2012,28,6,0,1564
710,273.54,2012,28,6,1,795
711,273.63,2012,28,6,2,447
712,273.63,2012,28,6,3,443
713,273.22,2012,28,6,4,330
714,272.75,2012,28,6,5,453
715,272.16,2012,28,6,6,755
716,271.06,2012,28,6,7,953
717,270.68,2012,28,6,8,1650
718,272.6,2012,28,6,9,2442
719,274.06,2012,28,6,10,3230
720,275.81,2012,28,6,11,3575
721,277.54,2012,28,6,12,4139
722,278.54,2012,28,6,13,3892
723,278.97,2012,28,6,14,3989
724,278.91,2012,28,6,15,4294
725,278.81,2012,28,6,16,4521
726,278.27,2012,28,6,17,4280
727,276.67,2012,28,6,18,3945
728,275.86,2012,28,6,19,3169
729,274.29,2012,28,6,20,2772
730,273.37,2012,28,6,21,2213
731,272.77,2012,28,6,22,1570
732,272.01,2012,28,6,23,1065
733,271.78,2012,29,0,0,530
734,271.41,2012,29,0,1,331
735,271.46,2012,29,0,2,270
736,271.76,2012,29,0,3,316
737,272.24,2012,29,0,4,799
738,271.98,2012,29,0,5,2513
739,271.53,2012,29,0,6,5503
740,271.46,2012,29,0,7,6642
741,271.7,2012,29,0,8,6195
742,273.26,2012,29,0,9,5246
743,274.9,2012,29,0,10,4460
744,276.33,2012,29,0,11,4580
745,277.58,2012,29,0,12,4771
746,278.5,2012,29,0,13,4836
747,279.3,2012,29,0,14,5138
748,279.89,2012,29,0,15,5606
749,280.11,2012,29,0,16,6120
750,279.82,2012,29,0,17,5985
751,278.69,2012,29,0,18,4418
752,277.75,2012,29,0,19,3089
753,276.77,2012,29,0,20,2636
754,276.61,2012,29,0,21,2117
755,276.06,2012,29,0,22,1437
756,275.22,2012,29,0,23,920
757,274.75,2012,30,1,0,600
758,274.24,2012,30,1,1,393
759,273.47,2012,30,1,2,298
760,273.5,2012,30,1,3,352
761,273.15,2012,30,1,4,762
762,273.0,2012,30,1,5,2519
763,272.69,2012,30,1,6,5478
764,273.08,2012,30,1,7,6728
765,273.91,2012,30,1,8,5972
766,274.82,2012,30,1,9,5280
767,276.16,2012,30,1,10,4626
768,277.69,2012,30,1,11,4947
769,278.47,2012,30,1,12,5125
770,279.12,2012,30,1,13,5130
771,279.28,2012,30,1,14,5394
772,280.19,2012,30,1,15,5837
773,280.5,2012,30,1,16,6222
774,280.3,2012,30,1,17,5992
775,279.58,2012,30,1,18,4578
776,278.78,2012,30,1,19,3246
777,278.5,2012,30,1,20,2834
778,276.93,2012,30,1,21,2578
779,276.03,2012,30,1,22,1979
780,275.01,2012,30,1,23,1326
781,273.87,2012,31,2,0,541
782,272.99,2012,31,2,1,346
783,272.41,2012,31,2,2,265
